bug_id,bug_fix_time,long_lived,y_hat,project_name
EFXCLIPSE-467232,2,N,N,eclipse
EGERRIT-489556,43,N,N,eclipse
EGERRIT-490211,272,N,N,eclipse
EGIT-312779,47,N,N,eclipse
EGIT-317368,1,N,N,eclipse
EGIT-321292,0,N,N,eclipse
EGIT-322255,1,N,N,eclipse
EGIT-331273,764,Y,N,eclipse
EGIT-332834,2238,Y,N,eclipse
EGIT-333338,763,Y,N,eclipse
EGIT-336921,959,Y,N,eclipse
EGIT-337028,142,N,N,eclipse
EGIT-352253,419,Y,N,eclipse
EGIT-358924,1,N,N,eclipse
EGIT-378611,589,Y,N,eclipse
EGIT-381338,8,N,Y,eclipse
EGIT-470671,1,N,N,eclipse
EGIT-475836,26,N,N,eclipse
EGIT-497820,1,N,N,eclipse
EGIT-515040,39,N,N,eclipse
EMF_SERVICES-295841,1,N,N,eclipse
EMF_SERVICES-301444,2567,Y,N,eclipse
EMF_SERVICES-395680,1,N,N,eclipse
EMF-217255,364,N,N,eclipse
EMF-220106,22,N,N,eclipse
EMF-243860,0,N,N,eclipse
EMF-246899,1,N,N,eclipse
EMF-247382,3,N,N,eclipse
EMF-254183,195,N,N,eclipse
EMF-270429,4,N,N,eclipse
EMF-272341,0,N,N,eclipse
EMF-279930,7,N,N,eclipse
EMF-297973,311,N,N,eclipse
EMF-325603,0,N,N,eclipse
EMF-333294,5,N,N,eclipse
EMF-359966,49,N,N,eclipse
EMF-360514,0,N,N,eclipse
EMF-383331,3,N,N,eclipse
EMF-385039,57,N,N,eclipse
EMF-415761,5,N,N,eclipse
EMF-427244,2,N,N,eclipse
EMF-427668,4,N,N,eclipse
EMF-463920,10,N,N,eclipse
EMF-500864,8,N,N,eclipse
EMF-517391,330,N,N,eclipse
EMF.DIFFMERGE-400815,71,N,N,eclipse
EMF.DIFFMERGE-490316,26,N,N,eclipse
EMF.DIFFMERGE-501481,0,N,N,eclipse
EMF.DIFFMERGE-510374,69,N,N,eclipse
EMF.EGF-364383,0,N,N,eclipse
EMF.PARSLEY-476385,6,N,N,eclipse
EMF.PARSLEY-493143,1,N,N,eclipse
EMFCOMPARE-195496,0,N,N,eclipse
EMFCOMPARE-246713,6,N,N,eclipse
EMFCOMPARE-288659,607,Y,N,eclipse
EMFCOMPARE-300008,1,N,N,eclipse
EMFCOMPARE-359586,248,N,N,eclipse
EMFCOMPARE-391264,12,N,N,eclipse
EMFCOMPARE-403425,0,N,N,eclipse
EMFCOMPARE-406401,0,N,N,eclipse
EMFCOMPARE-453218,22,N,N,eclipse
EMFCOMPARE-506723,237,N,N,eclipse
EMFCOMPARE-514382,89,N,N,eclipse
EMFCOMPARE-516500,12,N,N,eclipse
EMFCOMPARE-522064,150,N,N,eclipse
EMFSTORE-412016,0,N,N,eclipse
EMFSTORE-439111,24,N,N,eclipse
EMFSTORE-493074,7,N,N,eclipse
EMFT-253508,121,N,N,eclipse
EMFT-423155,410,Y,N,eclipse
EMFT.FACET-341192,0,N,N,eclipse
EMFT.FACET-419669,223,N,Y,eclipse
EMFT.FACET-500761,266,N,N,eclipse
EPF-142378,7,N,N,eclipse
EPF-143529,2,N,N,eclipse
EPF-143834,84,N,N,eclipse
EPF-146450,216,N,N,eclipse
EPF-147552,32,N,N,eclipse
EPF-151299,1,N,N,eclipse
EPF-152354,25,N,N,eclipse
EPF-155869,0,N,N,eclipse
EPF-158691,1,N,N,eclipse
EPF-160238,0,N,N,eclipse
EPF-175573,114,N,N,eclipse
EPF-177805,6,N,N,eclipse
EPF-179234,3,N,N,eclipse
EPF-179905,99,N,N,eclipse
EPF-184949,1,N,N,eclipse
EPF-186142,20,N,N,eclipse
EPF-186483,39,N,N,eclipse
EPF-207822,7,N,N,eclipse
EPF-224300,42,N,N,eclipse
EPF-229147,10,N,N,eclipse
EPF-242260,11,N,N,eclipse
EPF-250062,0,N,N,eclipse
