tn,fp,fn,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,seed,row
1728,26,4,1676,Fold5.Rep08,"0,99126383226558","0,984723854289072","0,997690531177829","0,99120719273345",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1726,28,9,1671,Fold1.Rep09,"0,989225393127548","0,983519717480871","0,994812680115274","0,989166198798072",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1722,32,10,1670,Fold2.Rep09,"0,987769365171811","0,981198589894242","0,994226327944573","0,987712458919407",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1734,20,17,1663,Fold3.Rep09,"0,989225393127548","0,988116458704694","0,990291262135922","0,989203860420308",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1731,23,14,1666,Fold4.Rep09,"0,989225393127548","0,986382474837182","0,991977077363897","0,989179776100539",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1733,21,13,1667,Fold5.Rep09,"0,99009900990099","0,987559241706161","0,992554410080183","0,990056825893172",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1728,26,8,1672,Fold1.Rep10,"0,99009900990099","0,984687868080094","0,995391705069124","0,990039786574609",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1721,33,9,1671,Fold2.Rep10,"0,987769365171811","0,980633802816901","0,994797687861272","0,987715745339087",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1736,18,11,1669,Fold3.Rep10,"0,991555037856727","0,989330171902786","0,993703491700057","0,991516831801422",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1721,33,12,1668,Fold4.Rep10,"0,986895748398369","0,980599647266314","0,993075591459896","0,986837619363105",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1726,28,4,1676,Fold5.Rep10,"0,990681421083285","0,983568075117371","0,997687861271676","0,990627968194524",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1742,17,13,1669,Fold1.Rep01,"0,99128160418483","0,989916963226572","0,992592592592593","0,991254777909582",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1745,13,31,1651,Fold2.Rep01,"0,987209302325581","0,9921875","0,982545045045045","0,987366272522523",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1749,10,26,1656,Fold3.Rep01,"0,989537925021796","0,993997599039616","0,985352112676056","0,989674855857836",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1742,16,28,1655,Fold4.Rep01,"0,987213019471084","0,990424895272292","0,984180790960452","0,987302843116372",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1734,24,28,1655,Fold5.Rep01,"0,984888113920372","0,985705777248362","0,98410896708286","0,984907372165611",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1748,11,21,1661,Fold1.Rep02,"0,990700377797152","0,993421052631579","0,988128886376484","0,990774969504031",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1743,15,30,1653,Fold2.Rep02,"0,986922406277245","0,991007194244604","0,983079526226734","0,987043360235669",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1738,20,13,1669,Fold3.Rep02,"0,990406976744186","0,988158673771462","0,992575671045117","0,99036717240829",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1744,14,26,1657,Fold4.Rep02,"0,98837547224644","0,991621783363255","0,985310734463277","0,988466258913266",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1740,19,18,1664,Fold5.Rep02,"0,989247311827957","0,988710635769459","0,989761092150171","0,989235863959815",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1736,23,20,1662,Fold1.Rep03,"0,987503632664923","0,986350148367952","0,988610478359909","0,987480313363931",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1741,18,30,1653,Fold2.Rep03,"0,986054619407321","0,989228007181329","0,983060417843027","0,986144212512177",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1740,18,21,1661,Fold3.Rep03,"0,988662790697674","0,989279332936272","0,988074957410562","0,988677145173417",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1747,11,23,1660,Fold4.Rep03,"0,990119151409474","0,993417115499701","0,987005649717514","0,990211382608607",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1741,17,14,1668,Fold5.Rep03,"0,990988372093023","0,989910979228487","0,992022792022792","0,990966885625639",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1746,13,30,1652,Fold1.Rep04,"0,987503632664923","0,992192192192192","0,983108108108108","0,98765015015015",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1748,10,23,1660,Fold2.Rep04,"0,990409764603313","0,994011976047904","0,987012987012987","0,990512481530446",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1742,16,23,1659,Fold3.Rep04,"0,988662790697674","0,99044776119403","0,986968838526912","0,988708299860471",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1735,24,19,1664,Fold4.Rep04,"0,987507263219059","0,985781990521327","0,989167616875713","0,98747480369852",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1733,25,19,1663,Fold5.Rep04,"0,987209302325581","0,985189573459716","0,989155251141553","0,987172412300634",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1741,17,20,1663,Fold1.Rep05,"0,989247311827957","0,989880952380952","0,988642816581488","0,98926188448122",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1739,19,32,1650,Fold2.Rep05,"0,985174418604651","0,988615937687238","0,981931112365895","0,985273525026566",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1746,13,15,1668,Fold3.Rep05,"0,991865194654271","0,992266508030934","0,991482112436116","0,991874310233525",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1743,15,23,1659,Fold4.Rep05,"0,988953488372093","0,991039426523297","0,986976217440544","0,98900782198192",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1745,14,25,1657,Fold5.Rep05,"0,988666085440279","0,991621783363255","0,985875706214689","0,988748744788972",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1736,22,25,1657,Fold1.Rep06,"0,986337209302326","0,986896962477665","0,98580352072686","0,986350241602263",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1740,18,24,1659,Fold2.Rep06,"0,987794245858762","0,989266547406082","0,986394557823129","0,987830552614606",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1742,17,20,1662,Fold3.Rep06,"0,989247311827957","0,989874925550923","0,988649262202043","0,989262093876483",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1739,19,24,1659,Fold4.Rep06,"0,987503632664923","0,988676996424315","0,986386840612592","0,987531918518453",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1744,15,24,1658,Fold5.Rep06,"0,988666085440279","0,991034070531978","0,986425339366516","0,988729704949247",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
