tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,seed,row
862,15,6,834,Fold10,0.9877693651718114,0.9823321554770318,0.9930875576036866,0.9877098565403593,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,2293,2
868,9,5,835,Fold01,0.9918462434478742,0.9893364928909952,0.9942726231386025,0.9918045580147989,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,3581,2
869,8,3,837,Fold02,0.9935934769947583,0.9905325443786982,0.9965596330275229,0.9935460887031106,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,3581,2
869,8,2,838,Fold03,0.994175888177053,0.9905437352245863,0.9977037887485649,0.9941237619865756,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,3581,2
867,10,9,831,Fold04,0.9889341875364007,0.9881093935790726,0.9897260273972602,0.9889177104881663,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,3581,2
864,13,6,834,Fold05,0.9889341875364007,0.9846517119244392,0.993103448275862,0.9888775801001506,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,3581,2
861,16,2,838,Fold06,0.9895165987186954,0.9812646370023419,0.9976825028968713,0.9894735699496067,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,3581,2
864,13,2,838,Fold07,0.9912638322655795,0.9847238542890717,0.9976905311778291,0.9912071927334505,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,3581,2
870,7,5,835,Fold08,0.9930110658124636,0.9916864608076009,0.9942857142857143,0.9929860875466576,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,3581,2
862,15,4,836,Fold09,0.9889341875364007,0.982373678025852,0.9953810623556582,0.9888773701907551,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,3581,2
864,13,5,835,Fold10,0.9895165987186954,0.9846698113207547,0.9942462600690449,0.9894580356948999,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,3581,2
871,9,5,836,Fold01,0.9918651946542708,0.9893491124260355,0.9942922374429224,0.9918206749344789,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,144,3
872,7,9,832,Fold02,0.9906976744186047,0.9916567342073898,0.9897843359818388,0.9907205350946142,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,144,3
877,3,15,826,Fold03,0.989540964555491,0.9963811821471653,0.9831838565022422,0.9897825193247037,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,144,3
873,6,8,834,Fold04,0.9918651946542708,0.9928571428571429,0.9909194097616345,0.9918882763093887,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,144,3
872,7,12,829,Fold05,0.9889534883720931,0.9916267942583732,0.9864253393665159,0.9890260668124445,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,144,3
